Posted Date,From,To,low-NH,high-NH,english-NH,metric-NH,english-BOS,metric-BOS
1/8/2024,12/30/2023,1/5/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
1/17/2024,1/6/2024,1/12/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
1/24/2024,1/13/2024,1/19/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
1/30/2024,1/20/2024,1/26/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
2/7/2024,1/27/2024,2/2/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
2/14/2024,2/5/2024,2/9/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
2/21/2024,2/10/2024,2/16/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
2/28/2024,2/17/2024,2/23/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
3/5/2024,2/24/2024,3/1/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
3/13/2024,3/2/2024,3/8/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
3/20/2024,3/9/2024,3/15/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
3/28/2024,3/16/2024,3/22/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
4/3/2024,3/23/2024,3/29/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
4/10/2024,3/28/2024,4/3/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
4/17/2024,4/5/2024,4/12/2024,$550.00,$620.00,$585.00,$644.85,$637.50,$702.72
4/24/2024,4/13/2024,4/19/2024,$550.00,$620.00,$585.00,$644.85,$665.00,$733.03
5/1/2024,4/20/2024,4/26/2024,$550.00,$620.00,$585.00,$644.85,$665.00,$733.03
5/7/2024,4/27/2024,5/3/2024,$550.00,$620.00,$585.00,$644.85,$665.00,$733.03
5/13/2024,5/4/2024,5/10/2024,$550.00,$620.00,$585.00,$644.85,$665.00,$733.03
5/21/2024,5/11/2024,5/17/2024,$550.00,$620.00,$585.00,$644.85,$665.00,$733.03
5/28/2024,5/18/2024,5/24/2024,$550.00,$620.00,$585.00,$644.85,$665.00,$733.03
6/4/2024,5/25/2024,5/31/2024,$550.00,$620.00,$585.00,$644.85,$665.00,$733.03
6/11/2024,6/1/2024,6/7/2024,$550.00,$620.00,$585.00,$644.85,$665.00,$733.03
6/18/2024,6/8/2024,6/14/2024,$550.00,$620.00,$585.00,$644.85,$610.00,$672.40
6/26/2024,6/15/2024,6/21/2024,$550.00,$620.00,$585.00,$644.85,$610.00,$672.40
7/2/2024,6/22/2024,6/28/2024,$550.00,$600.00,$575.00,$633.82,$590.00,$650.36
7/10/2024,6/29/2024,7/5/2024,$550.00,$600.00,$575.00,$633.82,$590.00,$650.36
7/17/2024,7/6/2024,7/12/2024,$525.00,$580.00,$552.50,$609.02,$585.00,$644.85
7/24/2024,7/13/2024,7/19/2024,$525.00,$580.00,$552.50,$609.02,$575.00,$633.82
7/31/2024,7/20/2024,7/26/2024,$525.00,$580.00,$552.50,$609.02,$575.00,$633.82
8/7/2024,7/27/2024,8/2/2024,$505.00,$550.00,$527.50,$581.46,$575.00,$633.82
8/14/2024,8/3/2024,8/9/2024,$505.00,$550.00,$527.50,$581.46,$575.00,$633.82
8/21/2024,8/10/2024,8/16/2024,$505.00,$550.00,$527.50,$581.46,$575.00,$633.82
8/28/2024,8/17/2024,8/23/2024,$505.00,$550.00,$527.50,$581.46,$575.00,$633.82
9/4/2024,8/24/2024,8/30/2024,$505.00,$550.00,$527.50,$581.46,$575.00,$633.82
